Time,Electricity:Facility [kWh](Hourly),AC System Output (W),Type,Season,Rate,,,
 05/13  24:00:00,0.6658552,0,off,summer,$0.21 ,,,
 05/14  01:00:00,0.57145592,0,off,summer,$0.21 ,,,
 05/14  02:00:00,0.531620458,0,off,summer,$0.21 ,,,
 05/14  03:00:00,0.520076113,0,off,summer,$0.21 ,,,
 05/14  04:00:00,0.522432506,0,off,summer,$0.21 ,,,
 05/14  05:00:00,0.575034036,81.714,off,summer,$0.21 ,,,
 05/14  06:00:00,0.716964492,406.042,off,summer,$0.21 ,,,
 05/14  07:00:00,0.887438921,1111.238,off,summer,$0.21 ,,,
 05/14  08:00:00,0.834854212,1790.514,off,summer,$0.21 ,,,
 05/14  09:00:00,0.791848821,2427.93,off,summer,$0.21 ,,,
 05/14  10:00:00,0.801989665,2825.51,off,summer,$0.21 ,,,
 05/14  11:00:00,0.805326601,2842.551,off,summer,$0.21 ,,,
 05/14  12:00:00,0.780097446,2945.021,off,summer,$0.21 ,,,
 05/14  13:00:00,0.74530946,2899.153,off,summer,$0.21 ,,,
 05/14  14:00:00,0.730882215,2589.425,off,summer,$0.21 ,,,
 05/14  15:00:00,0.754397167,1371.054,peak,summer,$0.29 ,,,
 05/14  16:00:00,0.861632668,992.937,peak,summer,$0.29 ,,,
 05/14  17:00:00,1.056583825,507.322,peak,summer,$0.29 ,,,
 05/14  18:00:00,1.131423185,93.804,peak,summer,$0.29 ,,,
 05/14  19:00:00,1.171463858,0,peak,summer,$0.29 ,,,
 05/14  20:00:00,1.344133208,0,peak,summer,$0.29 ,,,
 05/14  21:00:00,1.453500151,0,off,summer,$0.21 ,,,
 05/14  22:00:00,1.210779565,0,off,summer,$0.21 ,,,
 05/14  23:00:00,0.946534873,0,off,summer,$0.21 ,,,
 05/14  24:00:00,0.680559467,0,off,summer,$0.21 ,,,
